Manager of the Esenler branch is Derem Acar.
Haluk Gul is promoted from Cashier to Cook.
Manager of the Yesilyurt branch is Loya Cebeci.
Iknat Duran is promoted from Cashier to Cook.
Ayla Cengiz is promoted from Cashier to Cook.
Asli Cicek is promoted from Cashier to Cook.
İffet Kuru is promoted from Cashier to Cook.
Daime Tuncer is promoted from Cashier to Cook.
Kayla Yuksel is promoted from Cashier to Cook.
Esennur Yuksel is promoted from Cashier to Cook.
Caneda Aydemir is promoted from Cashier to Cook.
Hadra Aktas is promoted from Cashier to Cook.
Manager of the Buyukorhan branch is Benan Toprak.
Figen Akbas is promoted from Cashier to Cook.
Evgin Bayrak is promoted from Cashier to Cook.
Fırtına Saglam is promoted from Cashier to Cook.
Manager of the Sivrice branch is Mahzure Kilicaslan.
Canfeda Sahin is promoted from Cashier to Cook.
Füreyya Tekin is promoted from Cashier to Cook.
Arzu Koc is promoted from Cashier to Cook.
Manager of the Sile branch is Aykut Ozen.
Ekenel Buyuk is promoted from Cashier to Cook.
Ebyar Temel is promoted from Cashier to Cook.
Aygen Sari is promoted from Cashier to Cook.
Ilhami Uzun is promoted from Cashier to Cook.
Layike Alp is promoted from Cashier to Cook.
Deran Kocak is promoted from Cashier to Cook.
Levin Arslan is promoted from Cashier to Cook.
Total bonuses for the Sehitkamil branch are: 4111
Lavanta Demir is promoted from Cashier to Cook.
Dilbirin Akbas is promoted from Cashier to Cook.
Hamza Buyuk is promoted from Cashier to Cook.
Iraz Ari is promoted from Cashier to Cook.
Aytekin Taskin is promoted from Cashier to Cook.
Total bonuses for the Sehitkamil branch this month are: 4111
Keriman Polat is promoted from Cashier to Cook.
Gazele Erkan is promoted from Cashier to Cook.
Lerzan Oz is promoted from Cashier to Cook.
Feray Kilicarslan is promoted from Cashier to Cook.
Adalan Sarac is promoted from Cashier to Cook.
Ebyar Polat is promoted from Cashier to Cook.
Dilkeste Mert is promoted from Cashier to Cook.
Fenniye Akbas is promoted from Cashier to Cook.
Gani Aydemir is promoted from Cashier to Cook.
Mahizar Aktas is promoted from Cashier to Cook.
Bengi Ari is promoted from Cashier to Cook.
Eyşan Ari is promoted from Cashier to Cook.
Bahise Elmas is promoted from Cashier to Cook.
Acem Yilmaz is promoted from Cashier to Cook.
Karakız Karakas is promoted from Cashier to Cook.
Manager of the Sivrice branch is Mahzure Kilicaslan.
Kainat Ozdemir is promoted from Cashier to Cook.
Gilyas Cetin is promoted from Cashier to Cook.
Ildem Yilmazer is promoted from Cashier to Cook.
Cankat Tasdemir is promoted from Cashier to Cook.
Igdemir Seker is promoted from Cashier to Cook.
Abat Aydin is promoted from Cashier to Cook.
Eğilmez Yildiran is promoted from Cashier to Cook.
Asli Aydogan is promoted from Cashier to Cook.
Meserret Seker is promoted from Cashier to Cook.
Jarin Toprak is promoted from Cashier to Cook.
Faraziye Aktas is promoted from Cashier to Cook.
Cansel Akpinar is promoted from Cashier to Cook.
Fırat Alkan is promoted from Cashier to Cook.
Abdulhamit Yildirim is promoted from Cashier to Cook.
Dahiye Oz is promoted from Cashier to Cook.
Ekin Durmaz is promoted from Cashier to Cook.
Ibrahim Mengi is promoted from Cashier to Cook.
Elacık Ari is promoted from Cashier to Cook.
Canan Toker is promoted from Cashier to Cook.
Hanif Gurbuz is promoted from Cashier to Cook.
Basri Tasdemir is promoted from Cashier to Cook.
Ilgi Kilicarslan is promoted from Cashier to Cook.
Ilham Celik is promoted from Cashier to Cook.
Abdullah Duran is promoted from Cashier to Cook.
Abaza Dede is promoted from Cashier to Cook.
Manager of the Merkez branch is Leylifer Aslan.
İclal Yasar is promoted from Cashier to Cook.
Ferhat Kose is promoted from Cashier to Cook.
Fevzi Yildiz is promoted from Cashier to Cook.
Fırat Aygun is promoted from Cashier to Cook.
Mecide Duran is promoted from Cashier to Cook.
Germa Yildirim is promoted from Cashier to Cook.
Total bonuses for the Akyurt branch this month are: 3212
Melodi Koc is promoted from Cashier to Cook.
Irtek Ay is promoted from Cashier to Cook.
Haldun Mert is promoted from Cashier to Cook.
Erksin Akpinar is promoted from Cashier to Cook.
Hursit Cebeci is promoted from Cashier to Cook.
Abdulkadir Kaya is promoted from Cashier to Cook.
Aydin Cetin is promoted from Cashier to Cook.
Layza Taskin is promoted from Cashier to Cook.
Total bonuses for the Oguzeli branch this month are: 3131
Lİna Korkmaz is promoted from Cashier to Cook.
Manager of the Cesme branch is Dehan Acar.
Izgutay Nas is promoted from Cashier to Cook.
Ferda Yavuz is promoted from Cashier to Cook.
Hanife Nas is promoted from Cashier to Cook.
Jerfi Ozen is promoted from Cashier to Cook.
Karakız Dag is promoted from Cashier to Cook.
Figen Aydemir is promoted from Cashier to Cook.
Fikret Ucar is promoted from Cashier to Cook.
Bengi Yildiz is promoted from Cashier to Cook.
Cavlan Alp is promoted from Cashier to Cook.
Mahrume Erkan is promoted from Cashier to Cook.
Erhan Sari is promoted from Cashier to Cook.
Total bonuses for the Tuzla branch this month are: 3285
Hursit Erdogan is promoted from Cashier to Cook.
Total bonuses for the Cigli branch this month are: 3762
Aydin Demirci is promoted from Cashier to Cook.
Merze Arslan is promoted from Cashier to Cook.
Mahfer Cicek is promoted from Cashier to Cook.
Isa Saglam is promoted from Cashier to Cook.
Erhan Kucuk is promoted from Cashier to Cook.
Manager of the Lice branch is Karya Aydemir.
Cemalnur Alp is promoted from Cashier to Cook.
Beliz Er is promoted from Cashier to Cook.
Mefharet Cengiz is promoted from Cashier to Cook.
Demirezen Duran is promoted from Cashier to Cook.
Medar Bayrak is promoted from Cashier to Cook.
Haki Ekinci is promoted from Cashier to Cook.
Dildar Yavuz is promoted from Cashier to Cook.
Dirim Gul is promoted from Cashier to Cook.
Jarin Yilmaz is promoted from Cashier to Cook.
Hüdaverdi Ekinci is promoted from Cashier to Cook.
Atilgan Gurbuz is promoted from Cashier to Cook.
Manager of the Yesilyurt branch is Loya Cebeci.
Manager of the Sereflikochisar branch is Hincal Toprak.
Cavide Yilmaz is promoted from Cashier to Cook.
Belgi Cengiz is promoted from Cashier to Cook.
Gizer Yilmazer is promoted from Cashier to Cook.
Total bonuses for the Kulp branch this month are: 5310
Ecrin Balta is promoted from Cashier to Cook.
Ilbey Demir is promoted from Cashier to Cook.
Gogen Sahiner is promoted from Cashier to Cook.
Hulki Aytac is promoted from Cashier to Cook.
Ediz Ay is promoted from Cashier to Cook.
Mediha Buyuk is promoted from Cashier to Cook.
Huriye Toprak is promoted from Cashier to Cook.
Mahibe Buyuk is promoted from Cashier to Cook.
Manager of the Sivrice branch is Mahzure Kilicaslan.
Dalayer Avci is promoted from Cashier to Cook.
Canfeda Erkan is promoted from Cashier to Cook.
Aybars Yucel is promoted from Cashier to Cook.
Manager of the Osmangazi branch is Kader Sari.
Cilvekar Aytac is promoted from Cashier to Cook.
Total bonuses for the Arapgir branch this month are: 3699
Demirezen Toker is promoted from Cashier to Cook.
Canalp Akpinar is promoted from Cashier to Cook.
Manager of the Beypazari branch is Isinkan Senol.
Dahiye Tuncer is promoted from Cashier to Cook.
Janbek Ceylan is promoted from Cashier to Cook.
Ajda Yilmazer is promoted from Cashier to Cook.
Firdevsi Kilic is promoted from Cashier to Cook.
Fadik Avci is promoted from Cashier to Cook.
Ebyar Demirci is promoted from Cashier to Cook.
Acunalp Karahan is promoted from Cashier to Cook.
Fekahet Sarac is promoted from Cashier to Cook.
Hüdaverdi Saglam is promoted from Cashier to Cook.
Manager of the Umraniye branch is Cannur Ozdemir.
Fecir Dede is promoted from Cashier to Cook.
Abaza Yigit is promoted from Cashier to Cook.
Fatma Taskin is promoted from Cashier to Cook.
Edgü Mengi is promoted from Cashier to Cook.
Feridun Sahiner is promoted from Cashier to Cook.
Daim Balta is promoted from Cashier to Cook.
Gilyas Yilmaz is promoted from Cashier to Cook.
Hanbey Cengiz is promoted from Cashier to Cook.
Abdullah Aydin is promoted from Cashier to Cook.
Hincal Genc is promoted from Cashier to Cook.
Aylin Genc is promoted from Cashier to Cook.
Eser Ipek is promoted from Cashier to Cook.
Abdal Durmaz is promoted from Cashier to Cook.
Baran Demir is promoted from Cashier to Cook.
Manager of the Sariyer branch is Fadile Demirci.
Lavin Gurbuz is promoted from Cashier to Cook.
Dilay Yasar is promoted from Cashier to Cook.
Lamia Erturk is promoted from Cashier to Cook.
Gayret Cetin is promoted from Cashier to Cook.
Firdevsi Alkan is promoted from Cashier to Cook.
Karina Sahin is promoted from Cashier to Cook.
Balkin Polat is promoted from Cashier to Cook.
Lebriz Sahin is promoted from Cashier to Cook.
Farik Arslan is promoted from Cashier to Cook.
Hamza Dag is promoted from Cashier to Cook.
Bahir Ozturk is promoted from Cashier to Cook.
Abadan Yigit is promoted from Cashier to Cook.
Edebali Elmas is promoted from Cashier to Cook.
Gencal Sahiner is promoted from Cashier to Cook.
Beha Kuru is promoted from Cashier to Cook.
Ayhan Gunes is promoted from Cashier to Cook.
Lamia Kara is promoted from Cashier to Cook.
Farah Oz is promoted from Cashier to Cook.
Cazibe Yigit is promoted from Cashier to Cook.
Manager of the Kulp branch is Derin Seker.
Lİna Gunay is promoted from Cashier to Cook.
Felit Sahiner is promoted from Cashier to Cook.
Abaza Yavuz is promoted from Cashier to Cook.
Lİla Ozturk is promoted from Cashier to Cook.
Firuze Karahan is promoted from Cashier to Cook.
Haveri Kara is promoted from Cashier to Cook.
Karadut Kuru is promoted from Cashier to Cook.
Faruk Duran is promoted from Cashier to Cook.
Laylank Gunay is promoted from Cashier to Cook.
Dirlik Sarac is promoted from Cashier to Cook.
Erkinay Ozturk is promoted from Cashier to Cook.
Lebibe Er is promoted from Cashier to Cook.
İclal Cetin is promoted from Cashier to Cook.
Jefi Ucar is promoted from Cashier to Cook.
Bengi Yildirim is promoted from Cashier to Cook.
Lemide Aytac is promoted from Cashier to Cook.
Aygen Aydemir is promoted from Cashier to Cook.
Hurol Sahin is promoted from Cashier to Cook.
Gamze Sahiner is promoted from Cashier to Cook.
Ecehan Dede is promoted from Cashier to Cook.
Ertunga Aksoy is promoted from Cashier to Cook.
Eyşan Akbas is promoted from Cashier to Cook.
Davud Cebeci is promoted from Cashier to Cook.
Hilal Yilmazer is promoted from Cashier to Cook.
Ecenaz Kilicaslan is promoted from Cashier to Cook.
Abaza Demir is promoted from Cashier to Cook.
Behin Toker is promoted from Cashier to Cook.
Ikan Ozturk is promoted from Cashier to Cook.
Kaila/Kayla Yigit is promoted from Cashier to Cook.
Manager of the Evren branch is Ihya Cetin.
Manager of the Karsel branch is Kevser Genc.
Faden Mert is promoted from Cashier to Cook.
Fadile Ozdemir is promoted from Cashier to Cook.
Manager of the Oguzeli branch is Destan Aslan.
Fahrettin Aslan is promoted from Cashier to Cook.
Bahtiyar Kilicaslan is promoted from Cashier to Cook.
İkbal Cebeci is promoted from Cashier to Cook.
Hayal Yavuz is promoted from Cashier to Cook.
Manager of the Haymana branch is Fırat Demirci.
Hursit Arslan is promoted from Cashier to Cook.
Abgun Yilmazer is promoted from Cashier to Cook.
Hamza Gunes is promoted from Cashier to Cook.
Evin Yilmaz is promoted from Cashier to Cook.
Girgin Arslan is promoted from Cashier to Cook.
Gokalp Erdogan is promoted from Cashier to Cook.
Manager of the Menemen branch is Ilaydin Erturk.
Leylüfer Sahiner is promoted from Cashier to Cook.
Germa Nas is promoted from Cashier to Cook.
Ayaz Duran is promoted from Cashier to Cook.
Leyli Kilicaslan is promoted from Cashier to Cook.
Ilbas Aydemir is promoted from Cashier to Cook.
Manager of the Tuzla branch is Kafiye Mengi.
Erkinay Kilicaslan is promoted from Cashier to Cook.
Balin Gurbuz is promoted from Cashier to Cook.
Aylin Yuksel is promoted from Cashier to Cook.
Hurkan Karakas is promoted from Cashier to Cook.
Edgü Kilicaslan is promoted from Cashier to Cook.
Hacer Temel is promoted from Cashier to Cook.
Husamettin Mert is promoted from Cashier to Cook.
Etfal Acar is promoted from Cashier to Cook.
Aylin Yavuz is promoted from Cashier to Cook.
Total bonuses for the Acigol branch this month are: 5490
Total bonuses for the Karsel branch this month are: 5314
Fikret Ay is promoted from Cashier to Cook.
Egezade Balta is promoted from Cashier to Cook.
Acarbike Alkan is promoted from Cashier to Cook.
Ece Toprak is promoted from Cashier to Cook.
Erhan Demirci is promoted from Cashier to Cook.
Birol Tuncer is promoted from Cashier to Cook.
Darin Kucuk is promoted from Cashier to Cook.
Mahsure Akpinar is promoted from Cashier to Cook.
Gokay Aydemir is promoted from Cashier to Cook.
Fatoş Yilmazer is promoted from Cashier to Cook.
Karanfil Yilmazer is promoted from Cashier to Cook.
Bahtiser Yildirim is promoted from Cashier to Cook.
Abbad Kucuk is promoted from Cashier to Cook.
Katun Polat is promoted from Cashier to Cook.
Mahur Yildiz is promoted from Cashier to Cook.
Gencaslan Dagdelen is promoted from Cashier to Cook.
Kardelen Saglam is promoted from Cashier to Cook.
Ihya Kuru is promoted from Cashier to Cook.
Halim Erkan is promoted from Cashier to Cook.
Hanif Balta is promoted from Cashier to Cook.
Furkan Oz is promoted from Cashier to Cook.
Fena Saglam is promoted from Cashier to Cook.
Ekber Toprak is promoted from Cashier to Cook.
Harika Demirci is promoted from Cashier to Cook.
Dalayer Kuru is promoted from Cashier to Cook.
Gencay Yildiran is promoted from Cashier to Cook.
Manager of the Avcilar branch is Fadime Aydogan.
Dalan Arslan is promoted from Cashier to Cook.
Lebriz Dede is promoted from Cashier to Cook.
Manager of the Kestel branch is Fevzi Saglam.
Manager of the Yesilyurt branch is Loya Cebeci.
Garabed Cetin is promoted from Cashier to Cook.
Hamide Aksoy is leaving from branch: Karabaglar.
Inanna Kucuk is promoted from Cashier to Cook.
Huseyin Yildiran is promoted from Cashier to Cook.
Hatunana Ay is promoted from Cashier to Cook.
Mahibe Demir is promoted from Cashier to Cook.
Erdibike Erdogan is promoted from Cashier to Cook.
Total bonuses for the Osmangazi branch this month are: 3957
Furkan Koc is promoted from Cashier to Cook.
Dirim Dag is promoted from Cashier to Cook.
Hizir Akpinar is promoted from Cashier to Cook.
Doğannur Toker is promoted from Cashier to Cook.
Mahrume Aytac is promoted from Cashier to Cook.
Aysun Aytac is promoted from Cashier to Cook.
Erdem Gunay is promoted from Cashier to Cook.
Deryab Yigit is promoted from Cashier to Cook.
Meral Er is promoted from Cashier to Cook.
Kezban Demirci is promoted from Cashier to Cook.
Hilkat Avci is promoted from Cashier to Cook.
Filiz Tekin is promoted from Cashier to Cook.
Gavsi Taskin is promoted from Cashier to Cook.
Manager of the Keles branch is Birol Sahiner.
Dünya Ozen is promoted from Cashier to Cook.
Balkin Aydin is promoted from Cashier to Cook.
Bilal Karahan is promoted from Cashier to Cook.
Elacık Akbas is promoted from Cashier to Cook.
Mahru Yucel is promoted from Cashier to Cook.
İclal Gurbuz is promoted from Cashier to Cook.
Total bonuses for the Genc branch this month are: 3981
Abendam Elmas is promoted from Cashier to Cook.
Can Kilicaslan is promoted from Cashier to Cook.
Füreyya Sarac is promoted from Cashier to Cook.
Acarbey Yavuz is promoted from Cashier to Cook.
Total bonuses for the Cigli branch this month are: 5210
Ilgat Yasar is promoted from Cashier to Cook.
Himmet Yildirim is promoted from Cashier to Cook.
Levin Koc is leaving from branch: Odemis.
Ceren Elmas is promoted from Cashier to Cook.
Dilkeste Sahin is promoted from Cashier to Cook.
Ira Kocaman is promoted from Cashier to Cook.
Eyşan Durmaz is promoted from Cashier to Cook.
Lİla Kilicaslan is promoted from Cashier to Cook.
